t_idx,timestamp
329,2016-01-14 17:00:00
330,2016-01-14 18:00:00
331,2016-01-14 19:00:00
332,2016-01-14 20:00:00
333,2016-01-14 21:00:00
334,2016-01-14 22:00:00
335,2016-01-14 23:00:00
336,2016-01-15 00:00:00
337,2016-01-15 01:00:00
338,2016-01-15 02:00:00
339,2016-01-15 03:00:00
340,2016-01-15 04:00:00
341,2016-01-15 05:00:00
342,2016-01-15 06:00:00
343,2016-01-15 07:00:00
344,2016-01-15 08:00:00
345,2016-01-15 09:00:00
346,2016-01-15 10:00:00
347,2016-01-15 11:00:00
348,2016-01-15 12:00:00
349,2016-01-15 13:00:00
350,2016-01-15 14:00:00
351,2016-01-15 15:00:00
352,2016-01-15 16:00:00
353,2016-01-15 17:00:00
354,2016-01-15 18:00:00
355,2016-01-15 19:00:00
356,2016-01-15 20:00:00
357,2016-01-15 21:00:00
358,2016-01-15 22:00:00
359,2016-01-15 23:00:00
360,2016-01-16 00:00:00
361,2016-01-16 01:00:00
362,2016-01-16 02:00:00
363,2016-01-16 03:00:00
364,2016-01-16 04:00:00
365,2016-01-16 05:00:00
366,2016-01-16 06:00:00
367,2016-01-16 07:00:00
368,2016-01-16 08:00:00
369,2016-01-16 09:00:00
370,2016-01-16 10:00:00
371,2016-01-16 11:00:00
372,2016-01-16 12:00:00
373,2016-01-16 13:00:00
374,2016-01-16 14:00:00
375,2016-01-16 15:00:00
376,2016-01-16 16:00:00
377,2016-01-16 17:00:00
378,2016-01-16 18:00:00
379,2016-01-16 19:00:00
380,2016-01-16 20:00:00
381,2016-01-16 21:00:00
382,2016-01-16 22:00:00
383,2016-01-16 23:00:00
384,2016-01-17 00:00:00
385,2016-01-17 01:00:00
386,2016-01-17 02:00:00
387,2016-01-17 03:00:00
388,2016-01-17 04:00:00
389,2016-01-17 05:00:00
390,2016-01-17 06:00:00
391,2016-01-17 07:00:00
392,2016-01-17 08:00:00
393,2016-01-17 09:00:00
394,2016-01-17 10:00:00
395,2016-01-17 11:00:00
396,2016-01-17 12:00:00
397,2016-01-17 13:00:00
398,2016-01-17 14:00:00
399,2016-01-17 15:00:00
400,2016-01-17 16:00:00
401,2016-01-17 17:00:00
402,2016-01-17 18:00:00
403,2016-01-17 19:00:00
404,2016-01-17 20:00:00
405,2016-01-17 21:00:00
406,2016-01-17 22:00:00
407,2016-01-17 23:00:00
408,2016-01-18 00:00:00
409,2016-01-18 01:00:00
410,2016-01-18 02:00:00
411,2016-01-18 03:00:00
412,2016-01-18 04:00:00
413,2016-01-18 05:00:00
414,2016-01-18 06:00:00
415,2016-01-18 07:00:00
416,2016-01-18 08:00:00
417,2016-01-18 09:00:00
418,2016-01-18 10:00:00
419,2016-01-18 11:00:00
420,2016-01-18 12:00:00
421,2016-01-18 13:00:00
422,2016-01-18 14:00:00
423,2016-01-18 15:00:00
424,2016-01-18 16:00:00
425,2016-01-18 17:00:00
426,2016-01-18 18:00:00
427,2016-01-18 19:00:00
428,2016-01-18 20:00:00
429,2016-01-18 21:00:00
430,2016-01-18 22:00:00
431,2016-01-18 23:00:00
432,2016-01-19 00:00:00
433,2016-01-19 01:00:00
434,2016-01-19 02:00:00
435,2016-01-19 03:00:00
436,2016-01-19 04:00:00
437,2016-01-19 05:00:00
438,2016-01-19 06:00:00
439,2016-01-19 07:00:00
440,2016-01-19 08:00:00
441,2016-01-19 09:00:00
442,2016-01-19 10:00:00
443,2016-01-19 11:00:00
444,2016-01-19 12:00:00
445,2016-01-19 13:00:00
446,2016-01-19 14:00:00
447,2016-01-19 15:00:00
448,2016-01-19 16:00:00
449,2016-01-19 17:00:00
450,2016-01-19 18:00:00
451,2016-01-19 19:00:00
452,2016-01-19 20:00:00
453,2016-01-19 21:00:00
454,2016-01-19 22:00:00
455,2016-01-19 23:00:00
456,2016-01-20 00:00:00
457,2016-01-20 01:00:00
458,2016-01-20 02:00:00
459,2016-01-20 03:00:00
460,2016-01-20 04:00:00
461,2016-01-20 05:00:00
462,2016-01-20 06:00:00
463,2016-01-20 07:00:00
464,2016-01-20 08:00:00
465,2016-01-20 09:00:00
466,2016-01-20 10:00:00
467,2016-01-20 11:00:00
468,2016-01-20 12:00:00
469,2016-01-20 13:00:00
470,2016-01-20 14:00:00
